apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
coco germé ;hyep cim (7) ;thep cim ;thep cim ;thep cim ;sep cim 
coco germé arbustif (bon 4 planter) ;;doovala ;doovala ;sep vala (Y) 
arracher la fibre de vure centrale ;la ner- hali kawat (7) ;hali kawat ;hali kawat (Tendo) tie kawat (Coulna) ;too kaat (Y)
enlever la coque sur un épieu pour sortir la noix ;thaa hyep (7) ;thaa thep ;;thaa thep ;thaa sep 
ouvrir un coco en deux 4 la hache (pour faire du coprah) ;thegane (7) ;thegane ;;thegane ;thegane 
ouvrir la noix en deux en tapant sur la coquille ;thebii (7) ;thebii ;;thebii ;thebii 
décortiquer L'amande pour faire du coprah ;thalai (7) ;thalai ;;thie ;thie 
* raper du coco ;hyeli hyep (7) ;hyeli thep ;;hyeli thep ;hyeli sep 
variété de cocotier 4 bourre sucrée comestible ;tham (T) ;thep huli unye-n ;;thep huli unye-n ;se~huli (Y) 
coco évidé (sert de gourde) ;;pwen-girhep ;;pwen-girep ;pwen-giyep
tubercule d'igname ;pae-kuuk ;pae-kuuk ;paye-kuuk ;pay e-kuuk ;he-n kuic bwa-n kuic 
téte d'igname (pour repiquage) ;ga-n kuuk ;qa-n kuuk ;bwa-n kuuk ;bwa-n kuuk ;he-n kuic 
base de 1'igname ;hwan-tha-n_ kuuk ;ho-n kuuk ;ho-n kuuk ;ho-n kuuk kuuk ;kuic 
Dtoseorea alata (nom générique) ;kuuk ;kuuk ;kuuk ;;paaak (Y) paook (W) 
Dioscorea pentaphylla (nom générique) ;dingamwec ;ningawec ;ningawec ;ninqawec 
Dioseorea esculenta générique) ;(nom khubin (7) khubiny (0) ;diwadaan ;kudim ;kudim ;waalei 
Diescorea bulbtfera (nom générique) ;dimwa ;niwa ;niwa ;niwa ;dimwa 
CLONES DE DPtoscorea alata ;bobi (0) buke (0) bwatana (0) ceen~kuuk (0) cikain (0) dere (0) gamaliya (0) kacawa (0) koosi ku-bwau (0) ku-manyoot (0) ku-thangen (0) khadap (0) khan (sauvage) (0) maaasa (0) move (0) muada (0) mwanabico (0) naae-kuu (0) numea (0) ngan-kut (0) papua (0) pautan (0) ta-samwa (0) ;;bwa-tana cixaen duu-kuuk fa-mulim gooyu ka-danu ka-moove keletua kilitawa kosi ku ku-bwaung ku-bwiit ku-ceek ku-pahit ku-manyong ku-mwaaj ook ku-niwd ku-pe kusa kuselo ku-kaok ku-hyen maakelo nikola papua ;beewang bobi buke bwa-n mwen bwaa-tana cii-gomen cixain damalic duu-kuuk (prémices) gereec heve hoda janap jeena jeena mia jeena pulo ka-danu kaa-ka-mo-bwe j ook kaa-move kaa-n manik kayawa kayawa mia kayawa pulo kelerua kilfrawa kora ;beea (Y) bigen-sep (Y) can-khddk (Y) cixain (Y) cedala (Y) deen (Y) hoda (Y) janap (Y) jue-kuic (Y) kaboe (Y) kacagulop (Y) kayawa (Y) ka-janu (Y) ka~move (Y) kanoot (Y) ku-xaok (Y) kelerua (Y) kiliraa (Y) kora (Y) kora-n ka-janu pulo (Y) koviye (Y) koyi ku (sauvage) (Y) ku-bwaung (Y) ku-bwiit (Y) ku-dila (Y)
CLONES DE Dtoseorea alata (suite) ;;;sapwau tabwa taki litawa wanabico wan-saveen hyagic ;koxosi koxosi mia koxosi pulo koxosi nge-n kut ku Cle hneny) (sauvage) ku-abwa ku-bingen thep ku-bwaaolee ku-bwaung ku-bwiit ku-bwiit o ku-abwa ku-ceek ku-daac ku-geena ku-manyo ku-mwaajook ku-niwa ku-paye-pijing ku-pe ku-peena ku-pmu kusa ku-thano ku-thawa ku-thue-mwani ku-tnangen ku-wa ku-xaok ku-xaok o hmaliwe ku-hyen maaxelo mwadac nigilan nikola nikola galia nikola ka-humwa nuumia nuumia mia nuumia pulo hnoai papua puang pwako pmwa-xuraa~n Saawau saawaun kaavadoom sawet sawet pun-hna tabwa ;ku-geena (Y) ku~kac (Y) ku-mwajook (yY) ku-manyo (Y) ku-hmwek (Y) ku-pe (Y) ku-piyap (Y) ku-phi (y) ku-phiny (Y) ku-sa (Y) ku-sano (Y) ku-wa (y) ku-wabwa (Y) ku-hyen (y¥) malongany (Y) maaxelo (Y) mwadac (Y) nigilan (yY) nikola (¥) pangara (Y) puacek /Y) puuang (Y) pwaban (Y) phwa-uraa-n (Y) saamat (Y) saat saawau (Y) tala (Y) tala pebwan (y) thu(xde-mwani (Y) uny-tana (yY) uyelo (Y) wanabiyo (Y) waan-hyaat (Y) wavenyada (Y) wa-vulura (Y¥) hyagic (yY)
CLONES DE Dtoscorea alata (fin) ;;;;tabwaan kilirawa tala keet o deuc tala nyaamwen tala pebwan tala hyuu bui tuauru thi-yaget thi-yaget o ku~bwaung thi-yaget o koxosi uhook ukerelep uyelo wanabiyo wan-saeen ween~ba-tii yave-mia yave pulo hyanang hyangiavo 
CLONES D& Dioscorea pentaphylla ;;;;di~-elet di-kuuk (ftbreux) di-maalap (fibreux) di-pwen di-pun di-phoomac ;pa-cani (non fibrcur) pa~hwei (fibreux) 
CLONES DE Dtoscorea esculenta’ hyakute. (0) ;;;kudim kagaven ;duu-kudim kudim kagaen kudim koxosi kudimba-thingi pwaip kudim pwen~thoogec ;jue-waalei waalei yai-hure waalei koxosi ba~thiwi pwaip 
CLONES DE Dtoscorea bulbitfera ;di-hyac ;;di-hyac ;goruk doodeng di-fayila diuut ;di-huu (cultivé) di~kaavo (bulbilles comestibles non rapés) di-hyen (bulbilles va- pés)
mére du taro ;uva (Tf) ;uva ;uva ;uva ;ua 
bouture du taro ;uve-wahmu (7) ;uve-hyo ;uve-hyo ;uve-hyo ;uve-hyo 
oeilleton de taro ;hyoo-n wahmu (7) ;hyoo-n hyo ;hyoo-n uva ;hyoo-n uva ;hyoo-n ua 
inflorescence du taro ;phGd-n wahmu (7) pwanga-n (7) ;f00-n hyo ;pmweenge-n ;pmweqe-n ;muu-n hyo (Y) pmwege-n (W) 
pétiole de la feuille de taro (qu'on donne 4 sucer aux en- fants) ;gi luk ;;gi luk ;gi Luk ;gi Luk 
Coloeasta esculenta ;wahmu hwaae ;hyo ;hyo ;hyo ;hyo 
taro d'eau ;duu wahmu ;hyo le gala ;hyo le gala ;hyo le gala/ hyo Le we ;hyo le we 
taro sec ;;hyo o duet ;;hyo kaje ;u-mayuk 
clones de taros d'eau ;helo (0) feutlles comesttbles Jali jali jali phany (0) jali safala (0) jali vwwai waxap (0) ;;helo feutlles comes- ttbles jali vrémices hyo daahma hyo le gen danu hyo wagap ;daing diijang gan-hi-n kula hadaut hadaut mia helo jali jali jali halapwea jali kuraa-hmuutho jali jali mwen jali pmuny jali thaala jali thebang jali we u-daama waxap waawa ;comestibles bwiGdooe (Y) feutiles daing (yY) diijang (y) doming (Y) domwa (y) habu (¥) hadaut (yY) jali jali (y) jali pulo (y) jali phiny (y) jali jali thaala (y) pwen mai theada (Y) feutlles waxap (Y) hyalam (y) hyala wiiwiik (y) 
clones de taros secs ;duu-mateo mateo ;;kaa~mateo kaje ;daangen pwadooli kaa-mateo ;bare-vin (Y) divu (¥)
clones de taros secs (suite) ;mateo hun (0) mateo vhala (0) nae-pwadooli (0) pwadooli (0) u-hnegat (0) wa-kaje (0) ;;thiun u-bwibwi u-hnegat ;kaa-n danu ka-ta-hwek pwadooli pwen-ceek phurune sitiimwa thiun buke thiun caa hwaraap thiun hwawak uva o wang wailu hyo felet hyo mayo u-bwiwi u-j imwaak u-hnegat u~pmuny u-pmuny hlangen u-thaxet ;jabwala (Y) kaje (Y) kaje-phiiny (¥) kaheec (Y) mateo (Y) pavo (Y) phurune (Y) pwadooli (Y) sitiimwa (Y) u-bwiwi u~janu (Y) unhnegat (Y) wan-mai (Y) 
Alocasta macrorrhiza ;pia ;pia ;pia ;pia ;pia 
clones d'‘Alocasia ;;;;meyim pi-bi luup pi-jali pi-geena pwen-bo ;pi-geena 
Xanthosoma sp., Hébrides taro des ;wahmu pupwaale (7) pia popwaale (0) ;hyo-pia ;hyo-pia ;hyo-pia ;hyo-pia
clones de Xanthosoma ;;;;hyo-pia mia hyo-pia kari 
patate douce, Ipomoea batatas ;kumwala ;kumwala ;kumwala ;kumwala ;kumwala 
bouture de patate douce ;wekhdd-n kumwata ;hnoo-n kumwala ;hnoo-n kumwala ;hnoo-n kumwala ;hnyoo-n kumwala 
clones de patates douces ;daahma mac (0) daahma hulo (0) duu kumwala (0) erene (0) ;;do-noka herena knakaao niju ngen-kut okela olande ;kapwai kumwala kari kumwala kayuk kumwala poro kumwala yerene wa-n babec yapone ;belep (Y) bweravac (Y) (edrena (Y) kari kayuk (Y) kuco (Y) okelan (Y) pii-n he-n manik (¥) yapone (Y) 
canne & sucre ;khiny ;khGny ;knuny ;knuny ;khany (Y) knuny (W) 
bouture de canne 4 sucre ;uve-khdny ;uve-khiny ;uve-knuny ;uve-knuny ;uve-khany (Y) uve-knuny (W) 
noeud de canne 4 sucre ;gupai-n, gupae-khdny ;guvai-ne guvae-khiny ;gupai~-n, gupaye-knuny ;guvai-n, guvaye-knuny ;guvaye-khiny (¥) -guvaye-knuny (HW) 
entre-noeud de canne 4 sucre ;thaa-n khany ;thaa-n khany ;tnaa-n knuny ;tnaa-n knuny ;caa-n khdny (yY) c&aa-n knuny (W) 
touffe de canne 4 sucre ;bwaun-khiny ;bwaun-khdny ;bwaun-knuny ;bwaun-knuny ;gaun khany (Y) bwaun knuny (1) 
fagot de canne 4 sucre ;gale-khGny ;gare-khiny ;gare-knuny ;gare-knuny ;gare-khGny (Y) gare-knuny (W) 
CLONES DE CANNES A SUCRE ;bwadap (0) dekali (0) deuwa (0) didu (0) dimwa (0) gorea (0) hiqu jia-n (0) hin-kula (0) hoai~digan (0) huan (0) huan hulo (0) huan magat (0) jan-haya (0) jan-keet (0) kaneok (0) ka-yova (0) mita (0) ngala (0) ngala pweepo (0) pulaowa (0) sabu (0) sibwi (0) thawa (0) thilipi (0) ;;bwadap douva fwagan jibutana kaumani knu-dimwa knu~thaket mepwange mwaadi hne~kali hne-tadap hne-ceek ngeen paaceng tiihmac hwala hwan wee-n thep hwii pii-n ;caajet cii-n miijet cii-n hmeek damalic diduk dixali doo-n booc douva douva hawec hawec hawec higuu huan huan mia huan pulo huan hyagiye-mwen kaa-n niuk kau manik knu-dimwa knu-mai knu-mayuk knu-thaxet mwaadi ;(yY) dinu (yY) donoli do(x)ua (Y) haoc (Y) higuk jie-n (Y) hungun (Y) hungu-jen (Y) jibwerena (Y} kaa-n niuk (Y) kaavo-tade (Y) khd-dimwa (Y) khO-juuxac (Y) kha-mai khi-sageek (Y) khO0-yaak (Y) mewage (Y) mwaadi (Y) ngala (¥) ngeen (Y) nge-yuwec (Y) hnyego (Y) hnyego-hlangen /(y) hnyewan (Y) panyabu (Y)
CLONES DE CANNES A SUCRE isutte) ;hwala (0) hwala phOthad (0) hwii pii-n (0) ;;;hneaom hnego hnego hLlangen hnera hnera dam hnevumac o douva hnevumac o higuu-jie-n hnevuruk hnexauk hne-yeek ngala ngeen panyabu paayeng ;paayeng (Y) phiye-matha (Y) pumac pwébai sangamac (Y) tamu hilai nai-n (Y) tiimac (Y) thilibic (Y) walu xe magac (Y) wee-n sep (Y) wenu (Y) hwalang (Y) hwan (Y) hwa-tago (Y) hwa-yagixe-mwen (Y) hwii-vii-n (yY) hyet (= khd-hac) (y)
bananier cultivé ;saahmua ;;sSaamua ;saamua 
bananier cultivé autochtone Musa ptentum) paradistaca (subsp. sa- ;pijing ;;pijing ;pijing 
bananier 4 rhizome comestible Musa paradistaca (subsp. sa- ptentum) var. oleracea ;heeet ;;hweet ;hweet 
bananier fehi, Musa troglo— dytarum ;daang ;daang ;daang ;daang ;daang 
régime de bananes ;cee-n saahmua ;cee-n saahmua ;cee-n saahmua ;cee-n saamua ;cee-n saamua 
main de bananes ;dabun saahmua ;dabun saahmua ;dabun saahmua ;dabun saamua ;dabun saamua 
fleur de bananier ;thile-saahmua ;thire-saahmua ;thire-saahmua ;thire-saamua ;thire-saamua 
bout de L'inflorescence ;gupiin (0) ;coo-n saahmua ;coo-n saahmua ;coo-n saamua ;coo-n saamua 
rejet de bananier ;hyoo-n saahmua ;hyoo-n saahmua ;hyoo-n saahmua ;hyoo-n saamua ;hyoo-n saamua 
feuille séche de bananier ;haphade ;havhade ;hapmade ;hamade ;havade 
feuille fraiche de bananier ;doo-n saahmua ;doo-n saahmua ;doo-n saahmua ;doo-n saamua ;doo-n saamua/ doo-n hweac 
gaine du tronc ;haa-n saahmua ;haa-n saahmua ;haa-n saahmua ;haa-n saamua ;haa-n saamua 
nervure dorsale de la feuil- le de bananier ;duu-n doo-n saahmua ;duu-n doo-n saahmua ;duu-n doo-n saahmua ;duu-n doo-n saamua ;duayeen (Y) suubwang (W) 
champ de bananiers ;dan-saahmua ;dan-saahmua ;ne-saahmua ;hwa-saamua ;hwa-saamua 
banane mire ;saahmua magat ;saahmua magat ;saahmua mia ;saamua mia/ pi-mia ;saamua mia/ pi-mia 
mettre un régime 4 mirir ;hyaac ;hyaac ;hyaac ;hyaac ;hyaac 
CLONES DE BANANIERS (nijing) ;bare-thoomwa (0) cabang (0) do duu-pijing (0) kauwada (0) pwaago (0) pweedaat (0) ;bare-hnook furune fwaago kuLlipwen ;ban hnook pijing do pwaago hwe-du-bwek hwe-mia hwe~yaak ;ban nook ban nook pulo daang u maibue pijing pic pijing do pwaago hweeaat hwe-du-bwek hwe-mia hwe-yaak ;maibue pijing do podit pwaago hweac hwe-yaak
CLONES DE BANANIERS (saahmua, saamua) ;ariyo (0) du-gahlia (0) du-pwa-n (0) duu-saahmua (0) suka (0) hya~hnegat (0) ;;;duu saamua faayili saamua galia saamua galia mia pwe-n sSaamua pwen saamua suka seewet seewet hun seewet mwany ;jue-saamua saamua hwalic saamua pwen saamua suka seewet seewet hac seewet mwany
Acanthus tltetfoltus L. ;;;;thibulop ;thibulop (Y) 
Justtcta betontca Vahl ;kula (Tf) ;kula ;;kula 
Cordyline frutteosa (L.) A. Chev. khidi (= Taetsia fruttcosa (L.) Merr., Liliacée) ;;khadi ;knudi ;di ;di 
"aloés" ;uko (f) ;;uko ;lalue 
Crinum astattcum L. ;kaa-n khfik (T) ;;kaa-n kniik ;kaa-n kniik ;kaa-n hyaek 
Celosta argentea L. ;thi le-wedat ;thire-wedat ;thire-wedat ;thire-wedat ;thire-wedat (Y) thave-jangi (W) 
Achyranthes aspera L. ;hmwatak (Tf) ;hmwarang ;hmwatang ;hmwarang ;hmwarang 
Amaranthus sp. ;tha-n hyalek (7) ;dologom ;dologom ;dologom ;jologom 
Semecarpus vittensis (= S. atra Vieill.) ;booc wanit (0) ;booc ;booc ;booc ;booc 
Mangtfera indica L., "“manguier" mwago (7) ;;mwago ;mwaage ;mwago ;maak 
Euroschinus sp. ;ce-geen (T) 
Cerbera manghas L. (= ¢. odollam Gaertn.) ;thaagac (T) bwe-hanic (0) ;thoogec ;thaagac ;thoogec ;soogec 
Alstonta plumosa Labill. ;thigic (T) ;thigic ;thigic ;thigic ;thigic
Ervatamta ortentalis (R. Br.) Turrill, Pagtantha certfera Mgt. ;jeeda piuk (7) ;;;jeeda pwaluup / jeeda 
Melodinus scandens Forst. ef. RUBIACEES, Atractocarpus sp. ;wok dongan (T) ;‘khévac ;yafwa ;kneevac 
Alyxta torquata Guillaum. ;;;;;soexuc (Y) 
liane sp. ;;;;;wéken duun (Y) 
Colocasta esculenta (L.) Schott wahmu (T) hwaae (0) ;;hyo ;hyo ;hyo ;hyo 
Alocasta macrorrhiza (L.) Schott pia ;;pia ;pia ;pia ;pia 
Xanthosoma sp., "taro des Hé~ ;wahmu pupwaale (7) brides" pia popwaale (0) ;hyo pia ;hyo pia ;hyo pia ;hyo pia 
Amorphophallus campanulatus (Roxb.) Blume ;pwaaeap (0) ;;;pweek ;pweek 
Eptpremum pinmnatum (L.) Engl. ;hosaba (f) ;hosaba ;hothaba ;hoyaba ;hoyaba 
Polysetas ptnnata Forst. ;ce-pahop ;ce-pahop ;ce~pahop ;ce-dam ;ce-jam 
Schefflera gabrtellae Baill. ;han ;han ;han ;han ;han 
Schefflera sp. ;bala le hup 
Meryta mterocarpa Baill. ;doohle ;doohle ;doohle ;doole ;doole 
Myodocarpus fraxtnifolius Brongn. & Gris ;;;;daagunuk ;daagunu 
Araliacée sp. ;;;;havaik ;havaik (W) 
Tteghemopanax subinetsus R. Vig. ;;huni mwakheny 
Araucarta cookit R. Br., colonnaire" ;"pin hwaaphwé ;hwaahwé ;hwaapmwe ;hwaamwe ;hwaawe 
Araucaria qu'on trouve sur le mont Panié ;;;;bwana thonye 
Araucartia sp. ;;;;hwaamwe knodoa 
Agathts sp., "kaori" ;dayu ;dayu ;dayu ;dayu ;jayu
Hoya neo-caledontea Schltr. ;thaala-danu (0) ;;;do-waluk 
Barringtonta astattca (L.) Kurtz ce-piuk (Tf) ;;ce-viuk ;;ce-viuk ;ce-viuk 
Barringtonta sp. ;jihloowe (T) jiloe (0) ;jihtoowe ;jihloowet ;jilooet ;jilooet (W) jiloe (y) 
Bixa ovrellana L. ;pwaja ;pwaja ;pwaja ;pwaja ;pwaja 
Messerschmidta (= Tournefortta) argentea (L. £.) Johnston ;;ce-hyen ;;ce-hyen ;ce-kadep (Y) 
Ananas (introduit) ;that (fT) (= “pandanus") 
Caetus opuntia L. ;babec (1) ;;;babec 
Canna indica L. ;vat (fT) ;vat ;vat ;vat ;vat (W) 
Capparts quintflora DC. épineuse) ;(liane ;;pwage / (ou) diigoony kathalo 
Carica papaya L., "papayer" ;mamiapo (Tf) mamiapo (0) ;mami apo ;cin ;cin ;cin (W) lakau (Y)
Casuarina equisettfolta L., "bois de fer" ;hwahwiik ;hwahwiik ;hamak ;hamak ;yook (W) yexic (Y) 
Casuarina de bord de mer ;;yomween ;;yomween ;yomween 
Gymnostoma potssontanum , "bois de fer" de creek ;yodawak (Tf) yodawac (0) ;yodawac ;yodewet ;yodewet ;yejoot (W) yejeot (Y) 
Saltcornta australis Soland. ;damwe (0) 
Terminalta catappa L. ;jeeda ;jeeda ;jeeda ;jeeda ;jeeda 
Commelina benghalensts L. ;;;;pmweeng ;pmweeng (W} phweeng /Y) 
Zebrina pendula Schnizl. ;;daweek ;;dauweek ;jauweek (W) jauweeng (Y) 
Commélinacée sp. ;;ba-thiibu ? 
Commélinacée sp. ;hyep (0) ;;thep 
Wedelta biflora (L.) ;DC. thaket ;thaxet ;thaket ;thaxet ;sageek 
Sonehus oleraceus L. ;vhaany (7) vatibuk (0) ;vhaany ;faany ;faany ;phaany 
Ageratum conyzoides L. ;pamo hulo (7) ;pamo hulo ;pamo pulo ;pamo pulo ;pamo pulo (W) phodap / pamo pulo (Y) 
Ertgeron ertspus Pourr. ;kuruse ;kuruse ;;kuruse ;kuruse 
Erigeron sp. ;;;;yave-keet ;yave-keet 
Erigeron sp. ;(0) poone-ciibwi poona-n siibwi bac da-hwaahwé (7) 
Stegesbeckta ortentalis L. ;(7) sai titha (0) ;bac ;bac ;bac 
Brdens ptlosa L. ;;da-hwaahwé ;;da-hwaamwe ;da~hwaawe 
Pterocaulon redolens F. Vill. Elephantopus mollis H.B.K. ;;;;bateebiidu 
Ipomoea batatas (L.) Poir. “"patate douce™ (clones: tes cultivées) ;kumwala (T) ef. Plan- ;kumwala ;kumwala ;kumwala ;kumwala 
Ipomoea pes-caprae (L.) Sweet ;;thilothilo ;;thilothilo ;thilothilo 
Ipomoea alba L. ventrtcosa (ou) Opercultna ;;fi-h lop ;;pmu hLlop ;thobwang (Y) 
Ipomoea catrica (L.) Sweet ;hmimiiju (7) ;;;hmimiiju ;kaagao (W) 
Cordia myxa L. ;saveen (T) hyalak (0) ;hyaltek / saveen ;saveen ;saveen ;hyaat 
Bryophyllum calycinum Salisb. (= B. ptnnatum (Lam.) Kurz) ;ce-cim doo-n (T) ;ce-cim doo-n ;ce-tami doo-n ;ce-cim doo-n / ce~ tami doo-n ;ce-tei doo-n 
Brassica sp, ;giit (f) ;giit ;giit ;giit ;giit 
Nasturtium offictnale R. Br., "eresson" ;giit le we (T) ;giit le we ;giit le we ;giit le we ;giit le we 
Cucurbita pepolL., “citrouille" ;we ;we ;we ;we ;we 
Cucurbitacée sp, ;we-pharawa (T) 
Cucurbitacée sp. ;hyan-keet (7) 
Cucurbitacée sp. ;we-koosi (T) 
cucurbitacée 4 fruit trés long ;;;;we-daiogi ;we-daiogi 
courge sabot de cheval ;we-pinoo-n sovan (7) ;;;we-pinoo-n hoony ;we-kaee 
Lagenaria vulgarts Ser., gourde ;gitava ;girava ;we-kavee ;we-kaee 
Citrullus vulgarts Schrad.,"pas- ;twalang (7) ;fwalang /we-kaje heon ;haing ;thaxilo ;thaxilo 
Momordtea charantta L. ;;fwalang le hneny ;;hyareeny ;hyareeny 
Bryonopsts lacintosa (L.) Naud. ;;;;hyareeny mwany we-geena ;we-geena
courge ;we-pahit (7) 
Getssots racemosa Labill. ;mak ;mak ;mak ;mak ;mak 
Codta montana Forst. ;thing / thilang (0) ;;;him ;him 
Cycas sp. ;ngeen ;ngeen ;ngeen ;ngeen ;ngeen 
KyLlingta melanosperma Nees (et) Mariscus umbellatum L. ;;pwen ;paidu ;paidu ;paidu 
Carex dont on croque les grai- nes (= pou) ;;ciik ;;ciik ;ciik 
Cladium artteulatum R. ;Br. kan ;kan ;kan ;kan ;kan / hunet 
Selerta sp. ;mahlo (7) ;mahlo ;mahlo ;malo ;malo 
Selerta rheophilla ;;feeny ;feeny ;feeny ;pheeny 
Cypéracée sp. ;;;;;khiluva 
Heleocharis sp. ;hopwatu (0) 
Fimbristylts sp. ;hivet (0) ;;haxet 
Tetracera scandens (Forst.) Dan. ;wo-mia (T) ;wa-mia ;wa-mia ;wa-mia ;wé-mia 
Dtoscorea alata L. ;kuuk ;kuuk ;kuuk ;kuuk ;kutc 
Dtoscorea pentaphytla L. ;khdbin (7) khubiny (0) ;diwadaan ;kudim ;kudim ;waalei 
Dioscorea esculenta Burk. ;dingamwec ;ningawec ;ningawec ;ningawec ;paook (Ww) paaak (Y) 
Dioscorea bulbtfera L. Dtoseorea sp. ;dimwa ;niwa ;niwa ;niwa ;dimwa 
(igname sauvage) ;hony (2) 
Diospyros austrocaledonica ;ce-thoomwa (T) maandét (0) ;ce-hnook ;ce-hnook ;ce-nook ;ce-nemo
Dtospyros parviflora Schltr. ;;ce-nuum ;;ce-nuum ;ce-nuum (W) 
Diospyros kaki L. comestible) ;£. (fruit kaki ;(2) ;;;vavaang (Y) 
Elaeocarpus persicaefoltus Brongn. & Gris ;thalo (T) ;thalo ;thalo ;thalo ;thalo 
E. vtetllardt¢? Brongn. & Gris ;;;;;coda (Y) 
E. spathulatus Brongn. & Gris ;ce-bwiit (0) 
Erythroxylum novo-caledontcum 0.T. Schultz ;yaabunu (0) 
Btschofia javantea Blume ;waik (7) ;waik ;weik ;weik ;weik 
Breynta disticha Forst., var. neo-caledontca Mull.-Arg. ;ce-hmwaliido (T) ;ce~hmwaliido ;puput ;ce-hmwaliido 
Phyllanthus bourgeotsti Baill. ;ka-guna (2) ;ce-pile davec / hiula ;hixula ;;hixula 
Bureavta carunculata Baill. ;;ce-yaat ;;ce-yaat 
Gloehtidion sp. ;ce-mala ;ce~mala ;ce-mala ;ce-mala ;ce-mala 
Manthot uttlisstma MUll.~Arg., manioc ;manyo (Tf) manyoc (0) ;manyo ;manyo ;;manyo 
Exeoecarta agailocha L. ;deyo (T) daeo (0) ;deyo ;dao gayo ? ;deo ;deo 
Homalanthus nutans (Forst.) Pax ;hakuhya (7) hauhya (0) ;hauhya ;hakuhya ;haxuya ;haxuya 
Aleurttes moluecana (L.) Willd. "bancoulier" ;jem (T) hilim (0) ;jem ;jem ;jem ;jem 
Acalypha panehertana (et) au- tres espéces d' Acalypha ;hyadik ;hyadik ;hyadik ;hyadik ;hyadik 
Acalypha sp. et rouges) (4 fleurs blanches ;;cerogie ;;ceroxio ;ceroxio
Macaranga weddetitana Mull.-Arg. hwiip ;;‘hwiip ;hwiip ;hwiip ;hwiip 
Boequillonta brachypoda ;;ce-booc ;;ce-booc ;ce-booc 
Cletdtion sp. ;;;;haadaginy ;haadaginy 
Codtaeum tnophyllum Mall.-Arg. (et) C. vartegatum (L.) Blume ;ce-hulo (T) ;ce~hulo ;;ce-ulo ;ce-ulo 
Jatropha gosstptfolta L. ;;;;habwa 
Codtaeum sp., "crotons" divers ;ce~kayuk (T) ;;ce-kac ;ce-kac ;ce-kac (W) ce-degec (Y) 
Baloghta luetda Endl. ;ce-kuta (Tf) ;;ce-kuta ;ce-kura 
Euphorbta hirta L. ;;thé-n hyalek ;;tne-n hyalek ;kne-n ho (W) 
Homaltum sp. ;ce-vhalemwen (T) ;;hiparemwen ;hivaremwen ;hivaremwen 
Jotinvillea elegans Gaud. ;do-vhala (T) ;do-vhala ;doofala ;doovala ;doovala (¥) fala (Y) 
Nymphotdes tndteum Kuntze (= lune) ;;;pmwe ;pmwe 
Seaevola sp. ;pudo (0) ;hu~dago ;;huraap 
Saccharum of ficinarum L., canne a sucre (clones : cultivées) ;khdny ;khdny ;knuny ;knuny ;knuny (W) khany (Y) 
Saecharum spontaneum L. ;;thawa ;;thawa ;hnyein (Y) ? 
Cotx ltachryma-~jobt L. ;haathé (T) k’ado-o-jele-we (9) ;haarhé ;haatno ;haano ;haaro 
Zea mays L., mais ;haathé (7) kaado (0) ;watualea ;pijing ;haano ;haaro 
Apluda varta Hack. ea L.) ;(var. mutt- ;daahmadok ;;daamadok ;daamadok (Ww) 
Ischaemum muiticum L. ;dahi phwa (0) ;hyuu bwek ;hyuu bwek ;hyuu bwek ;hyuu bwek
Cymbopogon ettratus (L.) Stapf, citronnelle ;pae~dago (T) ;pae-dago ;paye-dago ;paye-dago ;hut paye~dago (Ww) phigouc (Y) 
Cymbopogon refractus (R. Br.) A. Cam. ;thoodo (7) ;;;thoodo ;thoodo 
Imperata cylindrica (L.) Beauv. ;toot (T) ;yaat ;made ;yaat ;mai 
Themeda gigantea Hack. de chaume) ;(sert huk (T) ;huk ;huk ;huk ;huk 
Miscanthus japontcus Anders. ;huuda ;huuda ;huuda ;huuda ;huuda 
Phragmites communts Trin. ;hago ;hago ;;hago ;‘hago 
bambou (nom générique) ;hyavic (7) duko (0) ;hyavic ;hyavic ;hyavic ~ hyaic ;go 
bambou de calibre moyen ;hyavic kapuehna (T) ;;hyavic kapuehna ;pmwauup ;pmwauup (W) phwauup (Y) 
Eleusine tndica (L.) Gaertn. ;nyuu-n wang ;nyuu-n wang ;;nyuu-n wang ;nyuu-n wang 
Paspalum orbtculare Forst. f£., P. cartilagineum Presl ;dang ;dang ;dang ;dang 
Cynodon dactylon (L.) Pers. (ou) Chrysopogon actculatus (Retz.) Trin., chiendent ;thathaac ;;thekec ;thexec ;thexec 
Sporobolus virginicus (L.) Kinth ;;the-dalik ;;the-dalik ;salik 
Heteropogon contortus (L.) Beauv, ex Ron. ;P. daa-n ga-~n danu ;daa-n ga~n danu ;;daa-n bwa-n danu ;daa-n bwa-n janu 
Brachiarta mutica Stapf ;;para ;para ;para ;para 
sorte de roseau ;;khuubwa 
graminée servant 4 soigner les foulures ;;;;hun-gan~jili-n 
Cyrtococcum sp. (= morpion) ;;;;cilaap ;cilaap 
Montrouatera caulifiora Planch. & Triana, “houp"™ ;hup ;hup ;hup ;hup ;hup 
Garcinta puat Guillaum. ;vhi-hwé ;hwé ;hwé ;hw ;hwé 
Calophytlum caledonteum Vieill. ;pio (T) vhio (0) ;pio ;pio ;pio ;pio 
Catophytlum tnophyllum L. ;vhic vhi (T) (0) ;vhic ;fic ;;phic
